replicate,match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,distance
2,118,Qarabağ,26.0,Baku,AZE,Napoli,71.0,Naples,ITA,2986.0
2,119,Qarabağ,26.0,Baku,AZE,Roma,86.0,Rome,ITA,3111.0
2,120,Qarabağ,26.0,Baku,AZE,Genk,13.0,Genk,BEL,3581.0
2,121,Bodø/Glimt,24.5,Bodø,NOR,Aberdeen,7.5,Aberdeen,SCO,1405.0
2,122,Bodø/Glimt,24.5,Bodø,NOR,Rangers,52.0,Glasgow,SCO,1595.0
2,123,Bodø/Glimt,24.5,Bodø,NOR,Manchester City,130.0,Manchester,ENG,1773.0
2,124,Bodø/Glimt,24.5,Bodø,NOR,Feyenoord,57.0,Rotterdam,NED,1791.0
2,125,Fiorentina,24.0,Florence,ITA,LASK,34.0,Linz,AUT,556.0
2,126,Fiorentina,24.0,Florence,ITA,Bayer 04 Leverkusen,67.0,Leverkusen,GER,871.0
2,127,Fiorentina,24.0,Florence,ITA,Lens,11.266,Lens,FRA,976.0
2,128,Fiorentina,24.0,Florence,ITA,Chelsea,96.0,London,ENG,1209.0
2,129,Genk,13.0,Genk,BEL,PSV,43.0,Eindhoven,NED,53.0
2,130,Genk,13.0,Genk,BEL,Arsenal,58.0,London,ENG,398.0
2,131,Genk,13.0,Genk,BEL,Manchester United,91.0,Manchester,ENG,598.0
2,132,Genk,13.0,Genk,BEL,Linfield,10.0,Belfast,NIR,868.0
2,133,Lens,11.266,Lens,FRA,AZ Alkmaar,48.0,Alkmaar,NED,279.0
2,134,Lens,11.266,Lens,FRA,Borussia Dortmund,75.0,Dortmund,GER,347.0
2,135,Lens,11.266,Lens,FRA,Liverpool,100.0,Liverpool,ENG,519.0
2,136,Lens,11.266,Lens,FRA,Real Betis,31.0,Seville,ESP,1610.0
2,137,Linfield,10.0,Belfast,NIR,Braga,48.0,Braga,POR,1463.0
2,138,Linfield,10.0,Belfast,NIR,Real Madrid,112.0,Madrid,ESP,1585.0
2,139,Linfield,10.0,Belfast,NIR,Barcelona,78.0,Barcelona,ESP,1586.0
2,140,Linfield,10.0,Belfast,NIR,Bodø/Glimt,24.5,Bodø,NOR,1770.0
2,141,Aberdeen,7.5,Aberdeen,SCO,Slavia Praha,42.0,Prague,CZE,1339.0
2,142,Aberdeen,7.5,Aberdeen,SCO,Villarreal,68.0,Villarreal,ESP,1916.0
2,143,Aberdeen,7.5,Aberdeen,SCO,Sevilla,84.0,Seville,ESP,2216.0
2,144,Aberdeen,7.5,Aberdeen,SCO,Qarabağ,26.0,Baku,AZE,4113.0
3,1,Inter,90.0,Milan,ITA,Young Boys,32.5,Bern,SUI,213.0
3,2,Inter,90.0,Milan,ITA,Bayern,126.0,Munich,GER,348.0
3,3,Inter,90.0,Milan,ITA,Marseille,34.0,Marseille,FRA,388.0
3,4,Inter,90.0,Milan,ITA,Eintracht Frankfurt,57.0,Frankfurt,GER,518.0
3,5,Manchester City,130.0,Manchester,ENG,Linfield,10.0,Belfast,NIR,271.0
