replicate,match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,distance
1,134,Maribor,9.5,Maribor,SVN,LASK,34.0,Linz,AUT,220.0
1,135,Maribor,9.5,Maribor,SVN,Real Madrid,112.0,Madrid,ESP,1698.0
1,136,Maribor,9.5,Maribor,SVN,Tottenham Hotspur,54.0,London,ENG,1272.0
1,137,Hearts,6.53,Edinburgh,SCO,West Ham,54.0,London,ENG,534.0
1,138,Hearts,6.53,Edinburgh,SCO,Genk,13.0,Genk,BEL,799.0
1,139,Hearts,6.53,Edinburgh,SCO,Slavia Praha,42.0,Prague,CZE,1343.0
1,140,Hearts,6.53,Edinburgh,SCO,Barcelona,78.0,Barcelona,ESP,1666.0
1,141,Luzern,6.155,Luzern,SUI,Osasuna,15.922,Pamplona,ESP,913.0
1,142,Luzern,6.155,Luzern,SUI,Crvena zvezda,40.0,Belgrade,SRB,971.0
1,143,Luzern,6.155,Luzern,SUI,Braga,48.0,Braga,POR,1463.0
1,144,Luzern,6.155,Luzern,SUI,Villarreal,68.0,Villarreal,ESP,1038.0
2,1,Bayern,126.0,Munich,GER,Salzburg,49.0,Salzburg,AUT,115.0
2,2,Bayern,126.0,Munich,GER,LASK,34.0,Linz,AUT,201.0
2,3,Bayern,126.0,Munich,GER,Rijeka,12.0,Rijeka,CRO,381.0
2,4,Bayern,126.0,Munich,GER,Villarreal,68.0,Villarreal,ESP,1300.0
2,5,Real Madrid,112.0,Madrid,ESP,RB Leipzig,87.0,Leipzig,GER,1733.0
2,6,Real Madrid,112.0,Madrid,ESP,SC Freiburg,19.0,Freiburg,GER,1246.0
2,7,Real Madrid,112.0,Madrid,ESP,Braga,48.0,Braga,POR,417.0
2,8,Real Madrid,112.0,Madrid,ESP,Nice,17.0,Nice,FRA,976.0
2,9,Chelsea,96.0,London,ENG,PSV,43.0,Eindhoven,NED,388.0
2,10,Chelsea,96.0,London,ENG,Genk,13.0,Genk,BEL,398.0
2,11,Chelsea,96.0,London,ENG,Bayern,126.0,Munich,GER,919.0
2,12,Chelsea,96.0,London,ENG,Real Sociedad,42.0,San Sebastián,ESP,921.0
2,13,Inter,90.0,Milan,ITA,Luzern,6.155,Luzern,SUI,189.0
2,14,Inter,90.0,Milan,ITA,Monaco,24.0,Monaco,FRA,238.0
2,15,Inter,90.0,Milan,ITA,Lyon,44.0,Lyon,FRA,340.0
2,16,Inter,90.0,Milan,ITA,Real Madrid,112.0,Madrid,ESP,1188.0
2,17,RB Leipzig,87.0,Leipzig,GER,Viktoria Plzeň,17.0,Plzeň,CZE,183.0
2,18,RB Leipzig,87.0,Leipzig,GER,Slavia Praha,42.0,Prague,CZE,202.0
2,19,RB Leipzig,87.0,Leipzig,GER,Atalanta,58.0,Bergamo,ITA,658.0
2,20,RB Leipzig,87.0,Leipzig,GER,Inter,90.0,Milan,ITA,695.0
2,21,Roma,86.0,Rome,ITA,Maribor,9.5,Maribor,SVN,575.0
2,22,Roma,86.0,Rome,ITA,Crvena zvezda,40.0,Belgrade,SRB,718.0
2,23,Roma,86.0,Rome,ITA,Barcelona,78.0,Barcelona,ESP,859.0
2,24,Roma,86.0,Rome,ITA,Eintracht Frankfurt,57.0,Frankfurt,GER,959.0
2,25,Barcelona,78.0,Barcelona,ESP,Fiorentina,24.0,Florence,ITA,789.0
2,26,Barcelona,78.0,Barcelona,ESP,Twente,11.42,Enschede,NED,1257.0
2,27,Barcelona,78.0,Barcelona,ESP,Tottenham Hotspur,54.0,London,ENG,1139.0
2,28,Barcelona,78.0,Barcelona,ESP,Chelsea,96.0,London,ENG,1139.0
2,29,Villarreal,68.0,Villarreal,ESP,Brighton,18.635,Brighton,ENG,1207.0
2,30,Villarreal,68.0,Villarreal,ESP,Arsenal,58.0,London,ENG,1283.0
2,31,Villarreal,68.0,Villarreal,ESP,West Ham,54.0,London,ENG,1283.0
2,32,Villarreal,68.0,Villarreal,ESP,Hearts,6.53,Edinburgh,SCO,1792.0
2,33,Arsenal,58.0,London,ENG,AC Milan,49.0,Milan,ITA,959.0
2,34,Arsenal,58.0,London,ENG,Roma,86.0,Rome,ITA,1434.0
2,35,Arsenal,58.0,London,ENG,Osasuna,15.922,Pamplona,ESP,974.0
2,36,Arsenal,58.0,London,ENG,Slovan Bratislava,26.5,Bratislava,SVK,1288.0
2,37,Atalanta,58.0,Bergamo,ITA,West Ham,54.0,London,ENG,966.0
2,38,Atalanta,58.0,Bergamo,ITA,Luzern,6.155,Luzern,SUI,182.0
2,39,Atalanta,58.0,Bergamo,ITA,Monaco,24.0,Monaco,FRA,282.0
2,40,Atalanta,58.0,Bergamo,ITA,Bayern,126.0,Munich,GER,307.0
2,41,Eintracht Frankfurt,57.0,Frankfurt,GER,Real Sociedad,42.0,San Sebastián,ESP,1108.0
2,42,Eintracht Frankfurt,57.0,Frankfurt,GER,Genk,13.0,Genk,BEL,243.0
2,43,Eintracht Frankfurt,57.0,Frankfurt,GER,PSV,43.0,Eindhoven,NED,270.0
2,44,Eintracht Frankfurt,57.0,Frankfurt,GER,Chelsea,96.0,London,ENG,638.0
2,45,West Ham,54.0,London,ENG,AC Milan,49.0,Milan,ITA,959.0
2,46,West Ham,54.0,London,ENG,Twente,11.42,Enschede,NED,489.0
2,47,West Ham,54.0,London,ENG,Real Madrid,112.0,Madrid,ESP,1263.0
2,48,West Ham,54.0,London,ENG,SC Freiburg,19.0,Freiburg,GER,693.0
2,49,Tottenham Hotspur,54.0,London,ENG,Fiorentina,24.0,Florence,ITA,1209.0
2,50,Tottenham Hotspur,54.0,London,ENG,Hearts,6.53,Edinburgh,SCO,534.0
