run,average_distance_travelled_per_team,average_distance_travelled_per_game,total_distance_travelled,longest_distance_travelled_by_a_team,fixture_with_longest_distance
4209,5386,1220,193900,Galatasaray - 11907,Braga (braga) v Bodø/Glimt (bodø) - 3178.0
4210,5418,1213,195035,Olympiacos - 10743,Olympiacos (piraeus) v Sporting CP (lisbon) - 2849.0
4211,5708,1293,205493,Qarabağ - 15546,Atlético de Madrid (madrid) v Qarabağ (baku) - 4466.0
4212,4785,1071,172257,Sevilla - 7890,Sevilla (seville) v TSC Bačka Topola (bačka topola) - 2319.0
4213,5344,1205,192371,Sevilla - 9574,Galatasaray (istanbul) v Real Betis (seville) - 3019.0
4214,4770,1078,171709,Galatasaray - 10509,Galatasaray (istanbul) v Real Madrid (madrid) - 2739.0
4215,5512,1232,198422,H. Beer Sheva - 17490,Newcastle (newcastle upon tyne) v H. Beer Sheva (beer sheva) - 3886.0
4216,5032,1125,181157,Flora Tallinn - 12597,Flora Tallinn (tallinn) v Sporting CP (lisbon) - 3311.0
4217,4763,1071,171467,Crvena zvezda - 7759,Real Betis (seville) v Zorya Luhansk (lublin) - 2718.0
4218,5321,1197,191548,Real Betis - 10537,Dynamo Kyiv (bucharest) v FC Porto (porto) - 2834.0
4219,5108,1168,183888,Real Betis - 8933,Galatasaray (istanbul) v Braga (braga) - 3103.0
4220,5211,1174,187584,Sevilla - 8828,Ludogorets (razgrad) v Braga (braga) - 2852.0
4221,5322,1209,191596,Qarabağ - 15711,Qarabağ (baku) v Sevilla (seville) - 4767.0
4222,5205,1162,187387,Sporting CP - 8613,Galatasaray (istanbul) v Real Sociedad (san sebastián) - 2550.0
4223,4808,1094,173099,Real Betis - 10168,Rangers (glasgow) v Gżira (gżira) - 2632.0
4224,5020,1128,180704,Fenerbahçe - 9298,HJK (helsinki) v Real Madrid (madrid) - 2948.0
4225,5637,1290,202915,H. Beer Sheva - 12171,H. Beer Sheva (beer sheva) v Bodø/Glimt (bodø) - 4225.0
4226,6002,1345,216079,Adana Demirspor - 11935,Adana Demirspor (adana) v KÍ Klaksvík (klaksvík) - 3999.0
4227,5197,1176,187105,Fenerbahçe - 11682,Villarreal (villarreal) v AEK Larnaca (larnaca) - 3013.0
4228,5823,1316,209631,APOEL - 12889,Celtic (glasgow) v APOEL (nicosia) - 3652.0
4229,5751,1289,207045,Crvena zvezda - 9754,Bodø/Glimt (bodø) v Osasuna (pamplona) - 2886.0
4230,5783,1302,208183,Galatasaray - 10334,Galatasaray (istanbul) v Benfica (lisbon) - 3237.0
4231,5649,1269,203358,Fenerbahçe - 12727,Real Madrid (madrid) v Bodø/Glimt (bodø) - 3186.0
4232,5479,1245,197242,AEK Larnaca - 13484,Celtic (glasgow) v AEK Larnaca (larnaca) - 3690.0
4233,5116,1152,184173,Sevilla - 10100,Copenhagen (copenhagen) v Benfica (lisbon) - 2477.0
4234,5567,1264,200428,H. Beer Sheva - 12998,Benfica (lisbon) v H. Beer Sheva (beer sheva) - 4047.0
4235,6131,1407,220717,Qarabağ - 15025,Real Betis (seville) v Pyunik (yerevan) - 4329.0
4236,4767,1089,171614,Olympiacos - 8834,Olympiacos (piraeus) v Rangers (glasgow) - 2872.0
4237,4541,1025,163479,Sevilla - 8310,Shakhtar Donetsk (hamburg) v Sevilla (seville) - 2176.0
4238,5438,1229,195786,Bodø/Glimt - 10755,Bodø/Glimt (bodø) v Atlético de Madrid (madrid) - 3186.0
4239,6302,1431,226881,H. Beer Sheva - 13355,Liverpool (liverpool) v H. Beer Sheva (beer sheva) - 3890.0
4240,5998,1376,215922,APOEL - 14716,Neftçi (baku) v Rennes (rennes) - 4116.0
4241,4662,1048,167832,Sevilla - 9582,Olympiacos (piraeus) v Sevilla (seville) - 2602.0
4242,5191,1156,186882,Bodø/Glimt - 12432,Bodø/Glimt (bodø) v Real Betis (seville) - 3562.0
4243,4991,1122,179662,Sevilla - 9806,Flora Tallinn (tallinn) v Sevilla (seville) - 3283.0
4244,4739,1064,170607,Galatasaray - 9522,Galatasaray (istanbul) v Rangers (glasgow) - 2912.0
