match,home_team,home_team_coefficient,home_team_city,home_team_association,away_team,away_team_coefficient,away_team_city,away_team_association,result
135,H. Beer Sheva,17.0,Beer Sheva,ISR,Copenhagen,51.5,Copenhagen,DEN,T
136,H. Beer Sheva,17.0,Beer Sheva,ISR,Fiorentina,31.0,Florence,ITA,A
137,Nice,17.0,Nice,FRA,Real Madrid,123.0,Madrid,ESP,A
138,Nice,17.0,Nice,FRA,Napoli,79.0,Naples,ITA,T
139,Nice,17.0,Nice,FRA,Sporting CP,52.5,Lisbon,POR,A
140,Nice,17.0,Nice,FRA,Celtic,32.0,Glasgow,SCO,A
141,Luzern,6.355,Luzern,SUI,Manchester City,141.0,Manchester,ENG,A
142,Luzern,6.355,Luzern,SUI,Juventus,80.0,Turin,ITA,A
143,Luzern,6.355,Luzern,SUI,PSV,53.0,Eindhoven,NED,H
144,Luzern,6.355,Luzern,SUI,Real Betis,33.0,Seville,ESP,A
